[USGS_PARAMETER],ALIAS
[00060],Flow
[00045],Precip
[00052],RelHumidity
[00065],Stage
[00062],Elevation
[72036],Res Storage
[00010],Water Temp
[00036],Wind Dir
[00035],Wind Speed
[62608],Sol Rad
[00095],Sp Cond
[00096],Salinity
[63160],Water Level
